epoch,phase,d_loss,g_loss,fid,time_sec
1,train,0.596800,23.860147,174.2562,33.54
2,train,0.526407,21.944295,151.2068,43.31
3,train,0.526762,21.441494,143.1309,34.47
4,train,0.543351,20.815437,130.4216,34.46
5,train,0.543120,20.265709,126.1594,35.60
6,train,0.559659,19.642061,118.0072,34.82
7,train,0.560709,19.111253,104.1178,34.46
8,train,0.558058,18.536172,99.6151,35.76
9,train,0.556066,18.063477,92.3730,35.48
10,train,0.565827,17.678480,89.1495,35.82
11,train,0.577420,17.156415,83.8717,35.61
12,train,0.579438,16.749040,81.7062,119.31
13,train,0.583153,16.420939,77.2011,77.12
14,train,0.565172,16.044113,75.6936,70.35
15,train,0.567685,15.812311,69.9892,58.61
16,train,0.570233,15.516238,69.8740,81.59
17,train,0.576094,15.126550,70.8436,93.47
18,train,0.578710,14.844013,67.3305,103.11
19,train,0.576137,14.650138,67.3506,87.24
20,train,0.558781,14.484720,64.9298,110.92
21,train,0.617881,14.190416,64.9903,81.95
22,train,0.557567,13.880661,62.6761,49.05
23,train,0.565376,13.800936,61.2517,102.45
24,train,0.559541,13.705817,59.7905,44.53
25,train,0.569974,13.521497,60.6746,43.21
26,train,0.666090,13.112931,58.8071,36.98
27,train,0.558183,13.025343,56.7847,39.81
28,train,0.556896,13.011776,59.7920,36.10
29,train,0.553439,12.943940,54.8225,35.89
30,train,0.564337,12.810041,56.3643,35.82
31,train,0.558001,12.707237,58.6531,36.53
32,train,0.562353,12.654120,56.9542,37.64
33,train,0.555036,12.546682,57.4048,38.50
34,train,0.545214,12.466187,58.8414,38.79
35,train,0.541019,12.408603,56.2457,149.10
36,train,0.827184,11.570421,57.7709,128.94
37,train,0.599159,11.383628,53.0911,96.62
38,train,0.549247,11.834595,52.3029,96.92
39,train,0.534716,11.926535,52.7124,100.88
40,train,0.534201,11.875906,55.0890,109.90
41,train,0.540833,11.884537,54.1579,137.46
42,train,0.532018,11.830144,51.4282,100.23
43,train,0.563590,11.854329,56.0041,80.54
44,train,0.810380,10.679292,51.5405,84.23
45,train,0.556250,11.226232,51.5690,71.24
46,train,0.523877,11.470880,51.2946,114.34
47,train,0.524600,11.491493,52.2564,60.36
48,train,0.534139,11.474872,51.8313,56.36
49,train,0.530736,11.450380,52.7514,48.77
50,train,0.536789,11.456220,52.1762,45.26
51,train,0.728300,11.233374,56.4732,46.77
52,train,0.570749,10.725628,50.3354,47.85
53,train,0.517451,11.161472,51.6135,46.70
54,train,0.519103,11.176174,51.8797,37.21
55,train,0.513623,11.198510,52.7935,36.82
56,train,0.511242,11.304380,53.1281,36.93
57,train,0.851727,10.472120,51.5343,96.76
58,train,0.639660,10.041959,49.4007,93.07
59,train,0.507638,10.744889,50.9793,84.51
60,train,0.493552,10.982649,50.8195,82.24
61,train,0.504361,10.990123,50.4717,97.99
62,train,0.594510,10.854776,50.4639,111.67
63,train,0.489384,10.961637,50.2736,131.72
64,train,0.537002,10.950485,51.8028,100.05
65,train,0.495556,11.026040,48.7411,92.06
66,train,0.494947,10.997980,52.1423,60.84
67,train,0.838645,10.308292,50.6203,52.08
68,train,0.587976,10.174437,50.5705,104.15
69,train,0.488659,10.638350,51.1295,52.93
70,train,0.498825,10.771683,50.3080,52.46
71,train,0.612324,10.407346,50.9336,43.12
72,train,0.476460,10.738532,50.7191,42.45
73,train,0.487715,10.796994,51.2378,42.93
74,train,0.481215,10.806578,51.8824,37.60
75,train,0.645937,10.889024,54.5387,36.87
76,train,0.712419,9.676211,50.6322,36.59
77,train,0.480902,10.364262,51.7422,38.56
78,train,0.472202,10.643488,50.5899,36.27
79,train,0.471590,10.729309,52.3819,94.88
80,train,0.454421,10.791025,52.2227,112.72
81,train,0.647434,10.353082,49.2907,86.62
82,train,0.460538,10.646999,49.9593,94.37
83,train,0.461445,10.724182,49.9244,123.68
84,train,0.453848,10.756672,51.9108,123.40
85,train,0.472339,10.829118,51.4498,121.18
86,train,0.465894,10.854603,52.3055,111.88
87,train,1.074120,9.542377,55.1248,131.10
88,train,0.702581,8.894226,53.2559,97.16
89,train,0.686027,8.828823,49.5449,62.49
90,train,0.692543,8.886025,49.9433,100.16
91,train,0.682181,8.909516,49.7928,95.69
92,train,0.687908,8.960284,49.2150,85.16
93,train,0.664700,9.144995,47.7891,72.02
94,train,0.615298,9.473234,47.9294,55.25
95,train,0.438132,10.271131,49.8677,52.80
96,train,0.633012,9.763191,51.1176,45.52
97,train,0.606738,9.580589,49.3870,43.70
98,train,0.406638,10.441975,49.5746,37.52
99,train,0.396796,10.694726,50.3808,36.56
100,train,0.413860,10.665950,51.1083,89.75
